"molecule_SMILES","UniProt_ID","affinity_score"
"CCOC(=O)C1=C2N(C(=C(C1C3=CC=CO3)C#N)N)C(=O)C(=CC4=CC=CO4)S2","Q96GD4",65.2
"C1CN(CC=C1C2=CNC3=C2C=CC=N3)C(=O)NC(CO)C4=CC=CC=C4","Q05513",62.7
"CCOC1=C(C(=CC(=N1)NC(=O)C)N)C#N","P45984",69.6
"CN(C)C[C@@H](C(=O)N)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC","P28482",62.1
"CS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N","P08069",66.5
"C1=CC(=CC(=C1)Cl)NC(=O)NC2=NC=C(S2)CCNC3=NC=NC4=C3SC=C4","P24941",63.4
"CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC(=CC=C3)[N+](=O)[O-]","P31749",68.3
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCN5CCCC5)N","Q7L7X3",72.7
"C1CNC(=O)C2=C1NC(=C2)C3=CC=NC=C3","P06239",63.6
"CN(C)C1=CC=C(C=C1)C2=CC(=NC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N)C4=CC=C(C=C4)[N+](=O)[O-]","O95819",64
"CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C(=O)NC)N","Q00535",62.1
"COC1=CC2=C(C=C1)NC(=O)C2=CC3=CN=CN3","P51812",67.7
"C1=CNC(=C1)C=C2C3=C(C=C(C=C3)C4=CC=C(C=C4)O)NC2=O","Q13464",64.6
"CC1=NN(C(=C1)C2=CC=CC=C2)C3=CC(=NC=N3)NN=CC4=CC=CO4","P04629",65.8
"CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=NSC4=NC=NC(=C34)N","Q9HAZ1",70.2
"CN(C)C(=O)C1=C(N=NN1CC2=CC=CC=C2)C3=CC4=C(C=C3)NN=C4","P45983",65.2
"COC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)CCO)N","Q16620",78.3
"COC1=C(C=C(C(=C1)C=O)Cl)NC(=O)NC2=NC=C(N=C2)C#N","P45983",65.2
"C1=CC=C(C=C1)NC2=NC(=NC=C2F)NC3=CC=CC=C3","P00533",66.5
"CN(C)CCCN1C=C(N=N1)CNC2=CC(=C3C(=C2)C(=C(C=N3)C#N)NC4=CC(=C(C=C4)F)Cl)Br","P45983",58.4
"C1CCC2=C(C1)C3=C4N=C(NN4C(=O)N=C3S2)C5=CC=NC=C5","O60674",67.1
"C1=CN=CC=C1C=CC2=CC(=CN=C2)OCCN","Q96GD4",63.4
"CC(C)OC1=C(C=C(C=C1)C2=NOC(=N2)C3=CC=C(C=C3)NC4CCC(C4)C(=O)O)Cl","O75116",62.7
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCN5CCCC5)N","P07333",80.7
"CCCC(=O)NC1=CC=CC(=C1)C2=NC3=C(C=C(C=C3)OCCN4CCCC4)C(=N2)NC5=CC6=C(C=C5)NN=C6","P48729",64
"CCN(CC)CCCNC(=O)C1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)F)N","P08581",75.8
"COC1=C(C=C(C=C1)C(=O)NC2=NNC3=C2C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5)OC","P00533",66.5
"C1=CC=C(C=C1)C2=CC(=NC(=O)N2)C3=CC4=C(C=C3)NN=C4","P31749",62.7
"COC1=CC(=CC(=C1OC)OC)NC2=NC=CC(=N2)NC3=CC(=NO3)C4CCCCC4","O96013",68.3
"C1=CC=C2C(=C1)C(=NNC2=O)C3=CC=C(C=C3)NC(=O)C4=CC(=CC=C4)S(=O)(=O)NCCCN","P28482",62.7
"CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=CC=CC3=CC=CC=C32)C4=CC=CC(=C4)C(=O)NCCCO","O95819",64
"CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)[C@@H](CCOC)C(=O)N","P06239",62.1
"C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=CC=CC=C43)C(=O)N)C(F)(F)F","O94806",62.1
"CSC1=CC=CC=C1NC2=NC(=NC3=C2N=CN=C3NCC4CC4)N5CCNCC5","Q13131",58.4
"C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC=NC4=CC=CC=C43","P06493",62.7
"CC1=NC2=C(C(=O)O1)SC3=C(C=CC(=C23)Cl)Br","P31749",62.7
"CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO","Q16620",64.6
"C1COCCN1C(=O)C2=CC=CC(=C2)C3=CN=C4C(=C3)C=CN4","P48729",63.4
"C1=C/C(=N/C(=O)NC2=CNC=CN2)/C3=CC=CC(=O)C3=C1","O60674",65.8
"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=CN=C4C=C3)NC(=O)OC(C)(C)C)C(=NC=N2)N","P12931",61.6
"CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)COC)C4=CC=C(C=C4)F","Q96GD4",63.4
"CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3)C4=CC=C(C=C4)F)CO","P35968",62.7
"COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F","Q16620",64.6
"C1[C@@H]2[C@@H]3[C@@H]([C@H]([C@@H](O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C7C(=CC(=O)C(C7(O6)O)(O)O)C(=O)O3)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)OC1=C(C(=C(C=C1C(=O)O)O)O)O)O)O)O)O)O","Q05513",60.8
"C1=CC=C(C=C1)C2=C3C=C(SC3=NN2)C(=O)NCC4=CC=C(C=C4)Cl","P52333",67.1
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N","Q05655",62.7
"CN1C=C(C2=C1C=CC(=C2)C#N)C3=CC4=NC(=CN=C4N3)Br","O14757",65.2
"C[C@@]12[C@@H]([C@@H](CC(O1)N3C4=CC=CC=C4C5=C(C(=C6C7=CC=CC=C7N2C6=C53)CO)CO)NC)OC","P41743",60.9
"CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC","P00519",67.1
"C1=CC=C(C=C1)COCC(COC2=CN=CC(=C2)C=CC3=CC=NC=C3)N","P17948",70.8
"COC1=C/C(=C/C(=C\2/C(=C(NN2)N)C#N)/C#N)/C=CC1=O","P07333",65.8
"COC1=C(C=C(C=C1)C=C2C(=NOC2=O)C3=CC=C(C=C3)Br)OC","P06213",64
"C1=CC=C(C=C1)NC2=NC=NC3=CC=CC=C32","P52333",60.9
"CCCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3NC(=O)C","P08069",66.5
"COCC#CC1=C2CC3=C(NN=C3C2=CC=C1)C4=CC=CS4","P00519",65.8
"C1=CC2=C(C=C1C#N)N(C(=N2)N)C3=NC=CS3","Q96GD4",67.7
"CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C(C)C(=O)NC)N","O75116",74.5
"CC1=C2CCCC(=C2C=CC1=O)NNC(=O)CC3=CC=CC4=CC=CC=C43","Q13627",63.4
"C1=CC(=C(C=C1CNC2=C(C(=O)C2=O)NC3=CC=NC=C3)Cl)Cl","P06239",65.8
"C1COCCN1C2=CC(=CC=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CS5)C6=CC(=CC=C6)NC(=O)CC7=CC=CC=C7","Q00535",68.4
"C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=CC=CC=C43)C(=O)N)C(F)(F)F","P24941",62.7
"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)N=C(C=C4)N)C(=NC=N2)N","P12931",62.9
"C1CN(CC2=C1NC3=C(C=C(C=C23)Cl)Cl)C(=O)NC4=CC=C(C=C4)[N+](=O)[O-]","P51812",64.6
"CCCCCCCCCCCCCCCCCC1OCC(O1)C[N+](C)(C)CCCO.[Br-]","Q05513",61.4
"C1=CC=C(C=C1)NC2=NC(=NC=C2F)NC3=CC=CC=C3","P24941",70.8
"C1=CC(=CC(=C1)C(F)(F)F)C(=O)NC2=CC(=C(C=C2)Cl)C(=O)NC3=CC(=C(N=C3)N)Cl","O60674",59.2
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C)N","P06213",75.8
"C1CNCC1OC2=CN=CC(=C2)C=CC3=CC=NC=C3","P24941",62.7
"C1=CC=C(C(=C1)C(=O)O)NC2=NC(=NC=C2)NC3=CC=C(C=C3)[N+](=O)[O-]","P52333",68.9
"CCN(CC)CC#CC1=CC2=C(CC3=C2NN=C3C4=CN=C(C=C4)C#N)C=C1","P49840",62.7
"CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CC[C@H]2O)C)[C@H](C)CCCC(C)C","P31749",55.9
"C1=CC=C2C(=C1)C3=C(N2)C=NC=C3","P17612",59.6
"CCN(CC)CCCNC1=CC=CC(=N1)C2=NC3=C(C=CC=C3N2)C(=O)N","P05129",63.4
"CCCON1C2=C(C=C(C=C2)Cl)C(=O)C3=C1N(N=C3C)C","O75116",62.7
"CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N","Q05513",62.7
"CC1=CC=CC=C1NC(=O)NC2=CC=C(C=C2)C3=COC4=NC=NC(=C34)N","P49841",63.4
"CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)OC)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)NC)Br","P36888",81.4
"CS(=O)(=O)NCCOC1=CN=CC(=C1)C2=CC3=C(C=C2)C=NC=C3","P11362",64
"CC1=CC=CC=C1NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N","O14965",70.8
"C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O","P36888",66.5
"CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O","Q13627",64.6
"C1=CC(=C2C(=C1)NC(=N2)C3=CC=NC=C3)C(=O)N","P45984",64.6
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C)N","O60674",75.8
"COC1=C(C=C(C=C1)C(=O)NC[C@@H](CO)O)/C=C/C2=CC=C(C=C2)Cl","P08581",57.8
"COC1=CC=CC(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3","P36888",65.8
"C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)NNC(=S)NC3=CC=C(C=C3)Cl)O","P49760",68.3
"C1CN(CC=C1C2=CNC3=C2C=CC=N3)C(=O)NC(CO)C4=CC=CC=C4","O43293",67.7
"COCCN1C=C(C(=N1)C2=CC=C(C=C2)Cl)C3=NC=NC=C3","Q13131",67.1
"C1=CC=C2C(=C1)C(=CN2)C[C@@H](COC3=CN=CC(=C3)C4=CC5=C(C=C4)C=NC=C5)N","P35968",57.8
"CC1=C(SC(=N1)COC2=CC=CC=C2Cl)C3=NC(=NC=C3)N","P06239",65.8
"CCCCN1C2=C(C=C(C=C2)N(C)C(=O)C3CCCCC3)N=C1NC(=O)C4=CC=CC(=C4)C#N","P07333",65.8
"CC1=C(C(=C2N1N=CN=C2N)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4)C(=O)OC","Q05655",62.7
"CC1=CC=CC=C1C2=CC=CC3=C2NC(=C3CCCOC4=CC(=CC(=C4C)C)C)C(=O)O","P08581",65.2
"CCNC(=O)NC1CCC(CC1)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4","O94806",80.7
"CC1=CNC2=NC=CC(=C12)OC3=C(C=C(C=C3F)NC4=CC(=NC(=N4)N)Cl)F","P49841",67.1
"C1C(C(COC2=NC(=CN=C2C#N)NC(=O)NC3=C(O1)C=CC(=C3)Cl)O)O","P05129",62.7
"CC1=NC(=O)C2=C(NN(C2=N1)C3=C(C=C(C=C3Cl)Cl)Cl)SC","Q05655",52
"C1=CN=CC2=C1C=C(S2)C(=O)N","P00519",56.5
"CN(C)CCNC1=CN=CC(=C1)C2=CN=CC(=N2)NC3=CC(=CC=C3)Cl","P48729",62.1
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C(N4C(=C(C=N4)C5=CN(N=C5)C)N=C3)N","P17948",87
"C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P06241",68.9
"CC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N)C","P28482",62.7
"C1=CC=C(C(=C1)C(=O)O)NC2=NC(=NC=C2)NC3=CC4=C(C=C3)C=NN4","P36888",72.7
"C1=CC(=C2C(=C1)NC(=O)C3=CC(=NN=C3N2)Cl)C(=O)N","P36888",65.8
"CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C","P08069",68.9
"C1=CC=C(C=C1)C2=C3C=CNC3=NC=C2","O96013",56.5
"CC(C)C1=NN=C2N1N=C(C=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F","P41743",64
"CC1=CC(=NO1)NC(=O)CCNC(=O)NC2=NC(=C(S2)C3=CC=C(C=C3)N4C=CC=N4)C","P48729",63.4
"CC(C)(C)C1=CC(=C(S1)NC(=O)NC2=C(C(=CC=C2)Cl)Cl)C(=O)N3CCC(=O)N(CC3)CCN(C)C","O60674",59.1
"CC(C)NC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4","O96013",64.4
"CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)F)OC)C(=NC=N2)N","P12931",74.6
"C1CC(CNC1)C2=CC(=C(C=C2)C3=NC4=C(N3)C=C(C=C4C(=O)N)Cl)F","P04629",65.8
"COC1=CC=CC(=C1)CNC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","Q13131",65.2
"CCN1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C","P06239",65.8
"CC1=C(N=NN1CC2=CC=CC=C2)C3=CC4=C(C=C3)NN=C4N","Q05655",68.9
"CCCS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N","P07333",65.8
"C1CN(CC2=C(C=CC=C21)C(=O)NC3=NC4=CC=CC=C4S3)C5=NC(=C(S5)C6=CC=C(C=C6)CO)C(=O)O","P45984",65.2
"C1=CC=C(C=C1)CNC(=O)C2=CC=CC(=C2)C3=CN=C4C(=C3)C=CN4","P05129",64.6
"C1=CC(=CN=C1)C2=CC3=CC(=NC=C3C=C2)NCCO","P08069",66.5
"CS(=O)(=O)NC1=C(C=C2C(=C1)OCCCCCOC3=NC(=CN=C3C#N)NC(=O)N2)Cl","Q13131",67.1
"CC(C)(C1=CC(=C(C(=C1)I)O)Br)C2=CC(=C(C(=C2)I)O)Br","Q96GD4",73.3
"CN1C2=NC=CC(=C2C(=N1)N)C3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)F)C(F)(F)F","P36888",84.5
"COC1=C/C(=C/C(=C\2/C(=C(NN2)N)C#N)/C#N)/C=CC1=O","P08069",68.3
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CC(=CC=C3)C(=O)N","P07333",70.8
"CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C(C)(C)C)C3=CN(C(=O)C(=C3)NC4=NC=C(C=C4)C(=O)N5CCOCC5)C","Q16620",64.6
"CCN(CC1=NSC(=C1)NC2=NC(=CN3C2=NC=C3C4=CNN=C4)C)C(C)(C)CO.Cl","P51812",74.5
"CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4","P07333",75.2
"CCC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)O)C4=C(C=C(C=C4)F)F","P17612",62.7
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC(=C(C=C4)N)C(=O)C5=CC(=CC=C5)Cl)N","P51812",62.7
"CCCC(=O)NC1=NC(=CC(=C1)C2=CNC3=C2C=CC=N3)Cl","P48729",65.8
"CN(C)CC(COC1=CC=C(C=C1)NC2=NC=CC(=N2)NC3=C(C=CC(=C3)Cl)Cl)O","Q13464",67.7
"CC1=NN(C2=C1C3=C(S2)C(=O)N=CN3)C","P07333",57.1
"CC1=CC(=C(C=C1C2=CC(=CC(=C2C(=O)O)O)O)O)O","O14965",84.3
"CC(C)(CN)CNC1=NC(=CC(=C1)C2=CNC3=C2C=CC=N3)Cl","O94806",74.5
"CC(C)CN1C2=C(C=CC(=C2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)F)N=C1N","O94806",80.7
"CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O","O43293",67.7
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCN5CCOCC5)N","P04629",73.9
"CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3OC)C4=C(C=C(C=C4)F)F)CO","O96013",64
"C1=CC=C(C(=C1)C(=O)O)NC2=NC(=NC=C2)NC3=CC4=C(C=C3)NN=C4","Q16620",64
"CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC(=CC=C4)OC(F)(F)F)N","P28482",72
"CC1=CC=CC(=C1C)C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N","P49841",78.3
"C1=CC(=CC(=C1)S(=O)(=O)N)NC2=NC=C(C(=N2)NC3=CC=C(C=C3)OCC#N)Br","O43293",77.6
"C1=CC=C(C=C1)CNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N","Q13627",63.4
"C1CCC2=C(C1)C3=C4N=C(NN4C(=O)N=C3S2)C5=CC=CC=C5","Q7L7X3",62.1
"CC1=CC(=O)N2C=CC(=C(C2=N1)O)CN(C)C","P06241",72
"COC1=CC(=CC(=C1OC)OC)NC2=NC=C(C(=N2)NC3=CC=CC=C3C(=O)N)[N+](=O)[O-]","P49840",83.9
"C1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=NOC4=NC=NC(=C34)N)C(F)(F)F","P11309",62.1
"CC1=CC=C(C=C1)C(=O)NC2=C(SC3=C2C(=C(C=C3)Cl)Cl)C#N","P51955",62.1
"C1=CC=C(C=C1)CNC(=O)C2=CC=CC(=C2)C3=CN=C4C(=C3)C=CN4","P45983",65.2
"CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=COC4=C3C(=NC=C4C#CCN5CCOCC5)N","P36888",78.9
"C1=CC(=CC(=C1)F)OC2=CN=CC3=C2C=C(S3)C(=O)N","Q12851",69.6
"CN1C=C(C2=C1C=CC(=C2)C#N)C3=CC4=NC(=CN=C4N3)Br","O96013",64.6
"CC1=CC(=C(C=C1Cl)NC(=O)NC2=NC=C(N=C2)C#N)OCC3CCC(C3)C(=O)O","P12931",66.5
"C1=CC2=NC(=O)N3C(=C2C=C1Cl)N=CN3","Q9HAZ1",60.2
"CSC1=CC2=C(C=C1)N=C3C(=C2Cl)CCNC3=O","O94806",62.1
"C1=CC(=NC(=C1)NC(=O)NC2=CC=NC3=C(C=CC(=C23)F)F)C(F)(F)F","Q7L7X3",63.4
"CC1=NC2=C(C(=O)O1)SC3=C(C=CC(=C23)Cl)Br","O75116",62.7
"CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O","P04629",72
"C1=CC(=C(C=C1I)F)NC2=C(C(=C(C=C2C(=O)O)CNC(=O)[C@H](CC(=O)N)N)F)F","O14965",66.5
"CN1C2=C(C=C(C=C2)N(C)C(=O)C3CCCCC3)N=C1NC(=O)C4=CC=C(C=C4)C#N","P49840",62.7
"C1=C(C=C(C(=C1O)O)O)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O","P05129",56.4
"CSC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F","P45984",70.8
"C1=CC(=C2C(=C1)NC(=O)C3=CC(=NN=C3N2)Cl)C(=O)N","P24941",69.6
"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)C=NC=C4)C(=NC=N2)N","P35968",57.8
"C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P08581",65.2
"COC1=C(C=C(C(=C1)C=O)Cl)NC(=O)NC2=NC=C(N=C2)C#N","P28482",62.7
"CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC","P06241",76.4
"CC1=NN=C(O1)C2=CC3=C(S2)C=NC=C3OC4=CC=C(C=C4)C(F)(F)F","O96013",64
"C[C@]12[C@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)CC9=CC=CC=C9)OC","P41743",69.3
"CN1CCC(CC1)NC(=O)C2=CN=C(N=C2NC3CCCC3)NCC4=C(C=CC(=C4)Cl)Cl","P00519",65.2
"C1=CC=NC(=C1)N2C(=CC(=O)N2)N","P49760",57.8
"CC1=C2C=C(SC2=NN1)C(=O)NCCC3=CC=C(C=C3)Cl","Q9HAZ1",69.6
"CC1=C2C(C3=C(CC(CC3=O)(C)C)N=C2NN1)C4=CC=CC=C4F","P11309",62.1
"CCNNC1=CC(=C(C2=NC3=CC=CC=C3N12)C#N)C","Q13131",62.1
"CC1=C2CCCC(=C2C=CC1=O)NNC(=O)CC3=CC=CC4=CC=CC=C43","P17612",70.8
"COC1=CC2=C(C=C1)NC(=O)C2=CC3=CN=CN3","P06493",71.4
"C1C2=C(C=C(C=C2C3=CC=C(C=C3)NC4=NC5=C(O4)C=C(C=C5)Cl)OCCCN)C(=O)N1","P51955",64
"C1COCCN1C2=NC(=CC=C2)NC(=O)NC3=C4C=CC=C(C4=NC=C3)C(F)(F)F","Q9HAZ1",66.5
"CC(C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P17948",73.3
"C1C=CC2C1C(NC3=C2C4=CC=CC=C4C=C3)C5=CC(=CC=C5)NC(=O)C6=CC=C(C=C6)F","P35968",65.8
"CCCCCCCCCCCCCCCCOCC(COCC[N+](C)(C)C)OC.[Br-]","Q05655",59.1
"CC1=CC=CC=C1C2=CC=CC3=C2NC(=C3CCCOC4=CC(=CC(=C4C)C)C)C(=O)O","P28482",62.7
"CC1=C2C(=NN1)C=CC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F","Q13464",67.1
"C1=CC(=CC=C1CNC2=C(C(=O)C2=O)NC3=CC=NC=C3)Cl","Q05655",67.1
"COC1=C(C=C(C=C1)C=C2C(=NOC2=O)C3=CC=C(C=C3)Br)OC","P49760",62.7
"COC1=C(C=C(C(=C1)C(=O)O)Cl)NC(=O)NC2=NC=C(N=C2)C#N","P08581",65.2
"C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)N","P41743",62.1
"C1C2C(C(C([C@H](O2)O)O)O)OC(=O)C3=CC(=C(C(=C3C4=C(C(=C5C6=C4C(=O)OC7=C(C(=C(C8=C(C(=C(C=C8C1=O)O)O)O)C(=C67)C(=O)O5)O)O)O)O)O)O)O","Q05655",62.1
"CCCCN(CCC#N)C(=O)C1=CC2=N/C(=C\3/C4=CC=CC=C4NN3)/N=C2C=C1","O96013",75.8
"C1=CC=C(C=C1)CNC2=C(C=CC(=C2)C3=CC=NC=C3)C#N","P08069",65.8
"C1=CC2=NC=C(C=C2C=C1C3=CC=NC=C3)O","Q16620",64.6
"CCN(CC)CCCNC(=O)C1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C)N","P49760",65.2
